DisNo.,type_name
2005-0540-PHL,Flood
2005-0540-PHL,"Slide (land, mud, snow, rock)"
2005-0540-THA,Broken Dam/Burst bank
2005-0540-VNM,Flood
2005-0540-VNM,"Slide (land, mud, snow, rock)"
2005-0541-IND,Broken Dam/Burst bank
2005-0547-USA,Flood
2005-0550-CRI,"Slide (land, mud, snow, rock)"
2005-0556-NPL,Broken Dam/Burst bank
2005-0556-NPL,"Slide (land, mud, snow, rock)"
2005-0559-MRT,Broken Dam/Burst bank
2005-0565-CHN,Flood
2005-0565-CHN,"Slide (land, mud, snow, rock)"
2005-0567-GTM,Flood
2005-0567-GTM,"Slide (land, mud, snow, rock)"
2005-0567-HND,"Slide (land, mud, snow, rock)"
2005-0567-HTI,Flood
2005-0567-MEX,Rain
2005-0567-NIC,Flood
2005-0567-SLV,"Slide (land, mud, snow, rock)"
2005-0575-IND,Fire
2005-0576-SDN,Rain
2005-0583-USA,Rain
2005-0585-CUB,Flood
2005-0585-CUB,"Slide (land, mud, snow, rock)"
2005-0585-HTI,Flood
2005-0585-JAM,Flood
2005-0585-JAM,"Slide (land, mud, snow, rock)"
2005-0585-MEX,Rain
2005-0585-USA,Flood
2005-0585-USA,Rain
2005-0586-HTI,"Slide (land, mud, snow, rock)"
2005-0589-IDN,"Slide (land, mud, snow, rock)"
2005-0593-SLV,"Slide (land, mud, snow, rock)"
2005-0597-DOM,Flood
2005-0597-DOM,"Slide (land, mud, snow, rock)"
2005-0597-HTI,Flood
2005-0597-HTI,"Slide (land, mud, snow, rock)"
2005-0603-IND,Broken Dam/Burst bank
2005-0625-HND,Rain
2005-0625-NIC,Rain
2005-0640-HND,Flood
2005-0640-HND,"Slide (land, mud, snow, rock)"
2005-0646-LKA,"Slide (land, mud, snow, rock)"
2005-0655-BEL,Snow/ice
2005-0655-DEU,Snow/ice
2005-0655-FRA,Snow/ice
2005-0657-COM,Pollution
2005-0669-PHL,Broken Dam/Burst bank
2005-0669-PHL,"Slide (land, mud, snow, rock)"
2005-0690-THA,"Slide (land, mud, snow, rock)"
2005-0694-VNM,"Slide (land, mud, snow, rock)"
2005-0695-BIH,Rain
2005-0711-COG,"Slide (land, mud, snow, rock)"
2005-0713-AUT,Snow/ice
2005-0713-BEL,Snow/ice
2005-0713-BLR,Snow/ice
2005-0713-ESP,Snow/ice
2005-0713-FRA,Snow/ice
2005-0713-GBR,Snow/ice
2005-0713-HRV,Snow/ice
2005-0713-HUN,Snow/ice
2005-0713-ITA,Snow/ice
2005-0713-MDA,Snow/ice
2005-0713-NLD,Snow/ice
2005-0713-POL,Snow/ice
2005-0713-RUS,Snow/ice
2005-0713-TUR,Snow/ice
2005-0713-UKR,Snow/ice
2005-0715-MOZ,Rain
2005-0716-USA,Rain
2005-0716-USA,"Slide (land, mud, snow, rock)"
2005-0718-IDN,"Slide (land, mud, snow, rock)"
2005-0723-JPN,"Avalanche (Snow, Debris)"
2005-0723-JPN,Cold wave
2005-0727-BGR,"Slide (land, mud, snow, rock)"
2005-0730-CHN,"Slide (land, mud, snow, rock)"
2005-0733-HTI,"Slide (land, mud, snow, rock)"
2005-0746-PAK,Broken Dam/Burst bank
2005-0757-AFG,Snow/ice
2005-9067-BDI,Crop failure
2005-9067-BDI,Famine
2005-9142-MLI,Food shortage
2005-9206-KHM,Food shortage
2005-9206-KHM,Heat wave
2005-9213-DJI,Famine
2005-9262-MOZ,Crop failure
2005-9262-MOZ,Food shortage
2005-9362-NER,Famine
2005-9362-NER,Food shortage
2005-9403-ZMB,Food shortage
2005-9578-MWI,Famine
2005-9578-MWI,Food shortage
2005-9637-MDG,Famine
2005-9637-MDG,Food shortage
2005-9719-KEN,Famine
2005-9722-SOM,Food shortage
2005-9745-CHN,Fire
2005-9747-ETH,Food shortage
2006-0008-CHN,Cold wave
2006-0015-BOL,Explosion
2006-0015-BOL,"Slide (land, mud, snow, rock)"
2006-0029-AFG,Cold wave
2006-0029-AFG,Rain
2006-0039-BOL,"Slide (land, mud, snow, rock)"
2006-0043-AUS,Flood
2006-0071-FJI,"Slide (land, mud, snow, rock)"
2006-0073-FJI,Flood
2006-0074-IDN,"Slide (land, mud, snow, rock)"
2006-0093-ECU,"Slide (land, mud, snow, rock)"
2006-0099-IDN,"Slide (land, mud, snow, rock)"
2006-0108-NAM,Broken Dam/Burst bank
2006-0109-SCG,Broken Dam/Burst bank
2006-0124-FRA,Cold wave
2006-0126-TLS,Flood
2006-0128-USA,Flood
2006-0139-AUS,Flood
2006-0140-COL,Rain
2006-0140-COL,"Slide (land, mud, snow, rock)"
2006-0141-COD,Flood
2006-0142-KGZ,"Avalanche (Snow, Debris)"
2006-0147-PER,Rain
2006-0155-AUS,Rain
2006-0156-AUT,Broken Dam/Burst bank
2006-0156-CZE,Broken Dam/Burst bank
2006-0156-DEU,Broken Dam/Burst bank
2006-0156-ROU,Rain
2006-0156-SCG,"Slide (land, mud, snow, rock)"
2006-0161-USA,Hail
2006-0165-YEM,Rain
2006-0171-USA,Hail
2006-0172-COD,"Slide (land, mud, snow, rock)"
2006-0180-USA,Broken Dam/Burst bank
2006-0180-USA,"Slide (land, mud, snow, rock)"
2006-0182-USA,Broken Dam/Burst bank
2006-0182-USA,"Slide (land, mud, snow, rock)"
2006-0192-IDN,"Slide (land, mud, snow, rock)"
2006-0199-CHN,Rain
2006-0205-PNG,"Slide (land, mud, snow, rock)"
2006-0208-GEO,Broken Dam/Burst bank
2006-0209-ROU,Broken Dam/Burst bank
2006-0209-UKR,Broken Dam/Burst bank
2006-0211-VNM,Hail
2006-0222-PNG,"Slide (land, mud, snow, rock)"
2006-0224-CAN,Broken Dam/Burst bank
2006-0230-BDI,Rain
2006-0231-IDN,Tsunami/Tidal wave
2006-0241-MMR,Flood
2006-0242-ARG,"Slide (land, mud, snow, rock)"
2006-0251-CHN,Flood
2006-0251-CHN,"Slide (land, mud, snow, rock)"
2006-0251-PHL,Flood
2006-0251-PHL,"Slide (land, mud, snow, rock)"
2006-0256-TJK,"Slide (land, mud, snow, rock)"
2006-0257-USA,Hail
2006-0260-USA,Rain
2006-0264-CHN,Broken Dam/Burst bank
2006-0270-THA,"Slide (land, mud, snow, rock)"
2006-0272-CUB,Flood
2006-0298-CHN,Rain
2006-0300-CHN,"Slide (land, mud, snow, rock)"
2006-0306-RUS,Broken Dam/Burst bank
2006-0311-IDN,"Slide (land, mud, snow, rock)"
2006-0312-ROU,"Slide (land, mud, snow, rock)"
2006-0320-ROU,Rain
2006-0328-IDN,"Slide (land, mud, snow, rock)"
2006-0332-IDN,"Slide (land, mud, snow, rock)"
2006-0333-UKR,Broken Dam/Burst bank
2006-0336-CHN,Broken Dam/Burst bank
2006-0336-CHN,"Slide (land, mud, snow, rock)"
2006-0337-CHN,Rain
2006-0337-CHN,"Slide (land, mud, snow, rock)"
2006-0340-CHN,"Slide (land, mud, snow, rock)"
2006-0341-USA,"Slide (land, mud, snow, rock)"
2006-0352-DEU,Hail
2006-0356-DEU,Flood
2006-0361-KOR,"Slide (land, mud, snow, rock)"
2006-0361-PRK,"Slide (land, mud, snow, rock)"
2006-0362-CHN,Flood
2006-0362-CHN,"Slide (land, mud, snow, rock)"
2006-0362-PHL,Flood
2006-0362-PHL,"Slide (land, mud, snow, rock)"
2006-0362-VNM,Flood
2006-0362-VNM,"Slide (land, mud, snow, rock)"
2006-0363-CHL,Rain
2006-0363-CHL,"Slide (land, mud, snow, rock)"
2006-0370-IND,"Slide (land, mud, snow, rock)"
2006-0371-CHN,"Slide (land, mud, snow, rock)"
2006-0378-JPN,"Slide (land, mud, snow, rock)"
2006-0388-CHN,Flood
2006-0388-CHN,"Slide (land, mud, snow, rock)"
2006-0388-PHL,Rain
2006-0389-PAK,"Slide (land, mud, snow, rock)"
2006-0390-JPN,"Slide (land, mud, snow, rock)"
2006-0410-CHN,"Slide (land, mud, snow, rock)"
2006-0415-PHL,Rain
2006-0417-IND,"Slide (land, mud, snow, rock)"
2006-0429-VNM,"Slide (land, mud, snow, rock)"
2006-0437-CHN,Flood
2006-0445-BFA,Broken Dam/Burst bank
2006-0446-VNM,"Slide (land, mud, snow, rock)"
2006-0447-SDN,Broken Dam/Burst bank
2006-0448-PHL,"Slide (land, mud, snow, rock)"
2006-0451-KHM,Rain
2006-0454-HUN,Rain
2006-0460-MKD,"Slide (land, mud, snow, rock)"
2006-0466-HTI,Flood
2006-0466-USA,Flood
2006-0473-NPL,Flood
2006-0475-CHN,"Slide (land, mud, snow, rock)"
2006-0483-MEX,Flood
2006-0483-MEX,"Slide (land, mud, snow, rock)"
2006-0504-JPN,Flood
2006-0504-JPN,"Slide (land, mud, snow, rock)"
2006-0505-MEX,Flood
2006-0505-MEX,"Slide (land, mud, snow, rock)"
2006-0510-BGD,Flood
2006-0510-IND,Flood
2006-0517-PHL,Flood
2006-0517-PHL,"Slide (land, mud, snow, rock)"
2006-0530-THA,"Slide (land, mud, snow, rock)"
2006-0541-GRC,Rain
2006-0541-GRC,"Slide (land, mud, snow, rock)"
2006-0546-USA,Rain
2006-0548-IND,"Slide (land, mud, snow, rock)"
2006-0556-NGA,Broken Dam/Burst bank
2006-0560-GRC,"Slide (land, mud, snow, rock)"
2006-0567-CHN,"Slide (land, mud, snow, rock)"
2006-0568-GRC,"Slide (land, mud, snow, rock)"
2006-0573-FRA,Flood
2006-0595-USA,Flood
2006-0597-COG,"Slide (land, mud, snow, rock)"
2006-0600-PHL,Flood
2006-0600-PHL,"Slide (land, mud, snow, rock)"
2006-0602-LKA,"Slide (land, mud, snow, rock)"
2006-0604-MEX,Flood
2006-0605-PHL,Broken Dam/Burst bank
2006-0610-PHL,"Slide (land, mud, snow, rock)"
2006-0617-PRT,"Slide (land, mud, snow, rock)"
2006-0623-PRK,Tsunami/Tidal wave
2006-0640-PAN,"Slide (land, mud, snow, rock)"
2006-0642-USA,Flood
2006-0647-PAN,Rain
2006-0647-PAN,"Slide (land, mud, snow, rock)"
2006-0648-PHL,Flood
2006-0648-PHL,"Slide (land, mud, snow, rock)"
2006-0648-VNM,Flood
2006-0656-JAM,"Slide (land, mud, snow, rock)"
2006-0659-VNM,Hail
2006-0663-PAK,Cold wave
2006-0663-PAK,"Slide (land, mud, snow, rock)"
2006-0678-IDN,"Slide (land, mud, snow, rock)"
2006-0680-IDN,Broken Dam/Burst bank
2006-0680-IDN,"Slide (land, mud, snow, rock)"
2006-0680-MYS,"Slide (land, mud, snow, rock)"
2006-0687-MDG,Rain
2006-0702-PHL,"Slide (land, mud, snow, rock)"
2006-0704-USA,"Slide (land, mud, snow, rock)"
2006-0704-USA,Tsunami/Tidal wave
2006-0732-CHN,"Slide (land, mud, snow, rock)"
2006-0733-PAK,"Slide (land, mud, snow, rock)"
2006-0738-BGD,Flood
2006-0739-BGD,Hail
2006-0740-IND,Rain
2006-0742-JPN,Cold wave
2006-0743-USA,Rain
2006-0745-CHN,Hail
2006-9233-GNB,Famine
2006-9411-LTU,Heat wave
2006-9425-MLI,Famine
2006-9741-CHN,Heat wave
2006-9756-TZA,Food shortage
2007-0003-BRA,"Slide (land, mud, snow, rock)"
2007-0012-LKA,"Slide (land, mud, snow, rock)"
2007-0016-IDN,Flood
2007-0020-MOZ,Rain
2007-0022-PHL,"Slide (land, mud, snow, rock)"
2007-0024-YEM,"Slide (land, mud, snow, rock)"
2007-0026-USA,Cold wave
2007-0026-USA,Rain
2007-0032-MDG,Flood
2007-0039-PER,"Slide (land, mud, snow, rock)"
2007-0042-BOL,"Slide (land, mud, snow, rock)"
2007-0060-ARG,Rain
2007-0066-CAN,Cold wave
2007-0066-USA,Cold wave
2007-0068-ROU,"Slide (land, mud, snow, rock)"
2007-0085-REU,"Slide (land, mud, snow, rock)"
2007-0086-IDN,"Slide (land, mud, snow, rock)"
2007-0095-MDG,Flood
2007-0095-MDG,"Slide (land, mud, snow, rock)"
2007-0101-JPN,"Slide (land, mud, snow, rock)"
2007-0101-JPN,Tsunami/Tidal wave
2007-0105-AFG,"Slide (land, mud, snow, rock)"
2007-0116-DZA,Rain
2007-0127-SLB,"Slide (land, mud, snow, rock)"
2007-0127-SLB,Tsunami/Tidal wave
2007-0133-NZL,Flood
2007-0133-NZL,"Slide (land, mud, snow, rock)"
2007-0134-DOM,"Slide (land, mud, snow, rock)"
2007-0134-HTI,Rain
2007-0134-HTI,"Slide (land, mud, snow, rock)"
2007-0137-CHN,Hail
2007-0142-THA,"Slide (land, mud, snow, rock)"
2007-0150-COL,"Slide (land, mud, snow, rock)"
2007-0151-FJI,"Slide (land, mud, snow, rock)"
2007-0156-USA,Flood
2007-0158-CHL,Tsunami/Tidal wave
2007-0160-AUS,Rain
2007-0160-AUS,"Slide (land, mud, snow, rock)"
2007-0161-BGD,"Slide (land, mud, snow, rock)"
2007-0161-MMR,"Slide (land, mud, snow, rock)"
2007-0162-COL,"Slide (land, mud, snow, rock)"
2007-0164-IRN,Flood
2007-0164-OMN,Flood
2007-0164-OMN,"Slide (land, mud, snow, rock)"
2007-0167-HTI,"Slide (land, mud, snow, rock)"
2007-0170-FRA,Flood
2007-0170-FRA,Hail
2007-0172-CHN,Rain
2007-0172-CHN,"Slide (land, mud, snow, rock)"
2007-0176-COL,"Slide (land, mud, snow, rock)"
2007-0187-LKA,"Slide (land, mud, snow, rock)"
2007-0191-COL,"Slide (land, mud, snow, rock)"
2007-0195-KGZ,"Slide (land, mud, snow, rock)"
2007-0196-TJK,"Slide (land, mud, snow, rock)"
2007-0201-GBR,Broken Dam/Burst bank
2007-0213-ZAF,Snow/ice
2007-0235-BGR,Drought
2007-0235-BGR,Wildfire
2007-0235-GRC,Wildfire
2007-0235-ITA,Wildfire
2007-0235-MKD,Wildfire
2007-0235-ROU,Drought
2007-0235-SRB,Wildfire
2007-0235-TUR,Wildfire
2007-0244-USA,Rain
2007-0245-PAK,Broken Dam/Burst bank
2007-0245-PAK,Flood
2007-0249-PAK,Rain
2007-0250-IND,"Slide (land, mud, snow, rock)"
2007-0251-USA,Rain
2007-0258-JPN,Fire
2007-0258-JPN,Tsunami/Tidal wave
2007-0262-JPN,Rain
2007-0262-JPN,"Slide (land, mud, snow, rock)"
2007-0263-ARG,Snow/ice
2007-0263-BOL,Snow/ice
2007-0268-CHN,"Slide (land, mud, snow, rock)"
2007-0278-GBR,Rain
2007-0283-IDN,"Slide (land, mud, snow, rock)"
2007-0287-TJK,Flood
2007-0287-TJK,"Slide (land, mud, snow, rock)"
2007-0293-MLI,Rain
2007-0297-CHN,Rain
2007-0307-NPL,"Slide (land, mud, snow, rock)"
2007-0311-BGD,"Slide (land, mud, snow, rock)"
2007-0312-IDN,"Slide (land, mud, snow, rock)"
2007-0313-CHN,"Slide (land, mud, snow, rock)"
2007-0314-CHN,Flood
2007-0314-CHN,"Slide (land, mud, snow, rock)"
2007-0315-CHN,"Slide (land, mud, snow, rock)"
2007-0319-JPN,"Slide (land, mud, snow, rock)"
2007-0333-CHN,"Slide (land, mud, snow, rock)"
2007-0334-RUS,"Slide (land, mud, snow, rock)"
2007-0334-RUS,Tsunami/Tidal wave
2007-0337-SWZ,Storm
2007-0340-ROU,Rain
2007-0346-PHL,Flood
2007-0346-PHL,"Slide (land, mud, snow, rock)"
2007-0352-PRK,Rain
2007-0352-PRK,"Slide (land, mud, snow, rock)"
2007-0359-USA,Flood
2007-0360-CUB,Flood
2007-0360-CUB,Surge
2007-0360-DMA,Flood
2007-0360-DOM,Flood
2007-0360-GLP,Flood
2007-0360-GLP,"Slide (land, mud, snow, rock)"
2007-0360-HTI,Flood
2007-0360-JAM,Flood
2007-0360-JAM,Surge
2007-0360-LCA,Flood
2007-0360-MEX,Flood
2007-0360-MTQ,Flood
2007-0360-MTQ,"Slide (land, mud, snow, rock)"
2007-0362-PER,"Slide (land, mud, snow, rock)"
2007-0362-PER,Tsunami/Tidal wave
2007-0364-IND,"Slide (land, mud, snow, rock)"
2007-0380-CHN,Flood
2007-0380-PHL,Flood
2007-0383-USA,Rain
2007-0383-USA,"Slide (land, mud, snow, rock)"
2007-0393-ROU,Rain
2007-0396-UKR,Rain
2007-0398-TLS,"Slide (land, mud, snow, rock)"
2007-0405-CHN,"Slide (land, mud, snow, rock)"
2007-0408-KEN,Broken Dam/Burst bank
2007-0408-UGA,"Slide (land, mud, snow, rock)"
2007-0409-MMR,Broken Dam/Burst bank
2007-0412-PAK,"Slide (land, mud, snow, rock)"
2007-0425-SOM,Broken Dam/Burst bank
2007-0439-GTM,Flood
2007-0439-GTM,"Slide (land, mud, snow, rock)"
2007-0439-HND,Flood
2007-0439-HND,"Slide (land, mud, snow, rock)"
2007-0439-MEX,Flood
2007-0439-NIC,Flood
2007-0439-NIC,"Slide (land, mud, snow, rock)"
2007-0439-SLV,Flood
2007-0440-IDN,Tsunami/Tidal wave
2007-0442-RWA,"Slide (land, mud, snow, rock)"
2007-0447-IDN,"Slide (land, mud, snow, rock)"
2007-0449-DZA,Rain
2007-0457-CHN,Flood
2007-0457-CHN,"Slide (land, mud, snow, rock)"
2007-0457-JPN,Flood
2007-0457-PHL,Flood
2007-0457-PRK,Flood
2007-0458-SVN,Flood
2007-0458-SVN,"Slide (land, mud, snow, rock)"
2007-0463-PHL,Flood
2007-0463-PHL,"Slide (land, mud, snow, rock)"
2007-0463-VNM,Flood
2007-0464-MEX,Flood
2007-0464-MEX,"Slide (land, mud, snow, rock)"
2007-0468-GTM,"Slide (land, mud, snow, rock)"
2007-0470-KOR,Flood
2007-0479-JPN,Flood
2007-0503-CRI,"Slide (land, mud, snow, rock)"
2007-0503-NIC,"Slide (land, mud, snow, rock)"
2007-0519-USA,Storm
2007-0521-MEX,Broken Dam/Burst bank
2007-0521-MEX,"Slide (land, mud, snow, rock)"
2007-0523-BHS,Flood
2007-0523-CUB,Broken Dam/Burst bank
2007-0523-CUB,Flood
2007-0523-DOM,Flood
2007-0523-DOM,"Slide (land, mud, snow, rock)"
2007-0523-HTI,Flood
2007-0525-PHL,"Slide (land, mud, snow, rock)"
2007-0527-COD,"Slide (land, mud, snow, rock)"
2007-0528-BRA,"Slide (land, mud, snow, rock)"
2007-0537-MEX,Tsunami/Tidal wave
2007-0539-BDI,Flood
2007-0552-CHN,Flood
2007-0552-TWN,Flood
2007-0552-TWN,"Slide (land, mud, snow, rock)"
2007-0553-PHL,"Slide (land, mud, snow, rock)"
2007-0556-BGD,Flood
2007-0557-PNG,Flood
2007-0562-MNE,Broken Dam/Burst bank
2007-0572-BRB,"Slide (land, mud, snow, rock)"
2007-0576-PHL,Flood
2007-0576-PHL,"Slide (land, mud, snow, rock)"
2007-0578-PHL,Flood
2007-0578-PHL,"Slide (land, mud, snow, rock)"
2007-0580-CHN,Transport accident
2007-0581-USA,Flood
2007-0581-USA,"Slide (land, mud, snow, rock)"
2007-0585-MWI,Rain
2007-0590-COG,"Slide (land, mud, snow, rock)"
2007-0591-AUS,Flood
2007-0604-ZWE,Rain
2007-0610-IDN,"Slide (land, mud, snow, rock)"
2007-0611-THA,Broken Dam/Burst bank
2007-0612-DOM,Flood
2007-0612-DOM,"Slide (land, mud, snow, rock)"
2007-0612-HTI,Flood
2007-0612-PRI,Flood
2007-0613-KEN,"Slide (land, mud, snow, rock)"
2007-0621-USA,Transport accident
2007-0641-USA,Transport accident
2007-0652-BOL,Broken Dam/Burst bank
2007-0662-USA,Flood
2007-0662-USA,Hail
2007-0663-USA,Flood
2007-0663-USA,Hail
2007-0668-PHL,Flood
2007-0683-IND,Rain
2007-0687-IND,Rain
2007-0687-IND,Snow/ice
2007-0689-USA,Cold wave
2007-0690-USA,Hail
2007-9288-SWZ,Famine
2007-9343-MOZ,Food shortage
2007-9494-LSO,Food shortage
2007-9675-ZWE,Food shortage
2007-9677-MDA,Food shortage
2008-0006-AFG,"Avalanche (Snow, Debris)"
2008-0006-AFG,Cold wave
2008-0007-BGR,Rain
2008-0007-BGR,Snow/ice
2008-0008-IRN,Cold wave
2008-0008-IRN,Transport accident
2008-0010-USA,Broken Dam/Burst bank
2008-0010-USA,Rain
2008-0016-BRA,"Slide (land, mud, snow, rock)"
2008-0020-CHN,Cold wave
2008-0037-LSO,Hail
2008-0037-LSO,Rain
2008-0039-USA,Flood
2008-0039-USA,Hail
2008-0041-BRA,"Slide (land, mud, snow, rock)"
2008-0043-MDG,Flood
2008-0048-ECU,"Slide (land, mud, snow, rock)"
2008-0050-TJK,Snow/ice
2008-0051-FJI,Flood
2008-0064-PER,"Slide (land, mud, snow, rock)"
2008-0070-MDG,Flood
2008-0073-CHN,Snow/ice
2008-0074-PRT,"Slide (land, mud, snow, rock)"
2008-0077-PHL,"Slide (land, mud, snow, rock)"
2008-0082-AUT,Flood
2008-0082-DEU,Flood
2008-0082-ROU,Flood
2008-0092-IDN,"Slide (land, mud, snow, rock)"
2008-0104-SWZ,Rain
2008-0108-IDN,Broken Dam/Burst bank
2008-0115-USA,Flood
2008-0115-USA,Hail
2008-0121-COL,"Slide (land, mud, snow, rock)"
2008-0125-BRA,"Slide (land, mud, snow, rock)"
2008-0131-USA,Broken Dam/Burst bank
2008-0132-LKA,"Slide (land, mud, snow, rock)"
2008-0139-COD,Rain
2008-0142-BDI,"Slide (land, mud, snow, rock)"
2008-0155-CHN,Flood
2008-0155-CHN,"Slide (land, mud, snow, rock)"
2008-0184-LKA,Flood
2008-0184-LKA,"Slide (land, mud, snow, rock)"
2008-0184-MMR,Flood
2008-0184-THA,Flood
2008-0192-CHN,"Slide (land, mud, snow, rock)"
2008-0194-USA,Flood
2008-0194-USA,Hail
2008-0197-PHL,Flood
2008-0197-PHL,"Slide (land, mud, snow, rock)"
2008-0210-USA,Broken Dam/Burst bank
2008-0210-USA,Flood
2008-0212-CHN,"Slide (land, mud, snow, rock)"
2008-0216-ITA,"Slide (land, mud, snow, rock)"
2008-0224-LKA,"Slide (land, mud, snow, rock)"
2008-0226-GRC,"Slide (land, mud, snow, rock)"
2008-0229-CHL,Broken Dam/Burst bank
2008-0229-CHL,"Slide (land, mud, snow, rock)"
2008-0233-BLZ,Flood
2008-0234-CRI,Flood
2008-0234-CRI,"Slide (land, mud, snow, rock)"
2008-0237-FRA,Flood
2008-0237-FRA,"Slide (land, mud, snow, rock)"
2008-0242-JPN,"Slide (land, mud, snow, rock)"
2008-0243-CHN,"Slide (land, mud, snow, rock)"
2008-0246-IND,"Slide (land, mud, snow, rock)"
2008-0249-CHN,Flood
2008-0249-PHL,Flood
2008-0249-PHL,"Slide (land, mud, snow, rock)"
2008-0264-CAN,Snow/ice
2008-0268-GTM,Broken Dam/Burst bank
2008-0268-GTM,"Slide (land, mud, snow, rock)"
2008-0271-NPL,Broken Dam/Burst bank
2008-0271-NPL,"Slide (land, mud, snow, rock)"
2008-0275-JPN,"Slide (land, mud, snow, rock)"
2008-0282-SLV,Transport accident
2008-0285-BGD,"Slide (land, mud, snow, rock)"
2008-0292-CHN,Flood
2008-0292-PHL,Flood
2008-0292-TWN,Flood
2008-0295-TWN,Flood
2008-0295-TWN,"Slide (land, mud, snow, rock)"
2008-0304-GTM,Flood
2008-0304-GTM,"Slide (land, mud, snow, rock)"
2008-0304-MEX,Flood
2008-0304-MEX,"Slide (land, mud, snow, rock)"
2008-0304-USA,Flood
2008-0304-USA,Transport accident
2008-0306-MDA,Rain
2008-0306-UKR,Rain
2008-0329-CHN,Flood
2008-0329-PHL,Flood
2008-0329-THA,Flood
2008-0329-VNM,Flood
2008-0329-VNM,"Slide (land, mud, snow, rock)"
2008-0338-DOM,Flood
2008-0338-DOM,"Slide (land, mud, snow, rock)"
2008-0338-HTI,Transport accident
2008-0338-USA,Flood
2008-0352-BHS,Flood
2008-0352-CUB,Flood
2008-0352-DOM,"Slide (land, mud, snow, rock)"
2008-0352-HTI,Flood
2008-0352-JAM,Flood
2008-0352-JAM,Surge
2008-0352-TCA,Flood
2008-0363-CMR,"Slide (land, mud, snow, rock)"
2008-0369-CHN,Rain
2008-0373-VNM,"Slide (land, mud, snow, rock)"
2008-0378-DOM,Rain
2008-0378-HTI,Flood
2008-0378-TCA,Flood
2008-0381-GBR,Rain
2008-0384-CUB,Flood
2008-0384-CUB,Surge
2008-0384-HTI,Flood
2008-0384-USA,Flood
2008-0389-CHL,"Slide (land, mud, snow, rock)"
2008-0420-ITA,"Slide (land, mud, snow, rock)"
2008-0423-IND,"Slide (land, mud, snow, rock)"
2008-0426-HKG,Flood
2008-0426-PHL,"Slide (land, mud, snow, rock)"
2008-0426-VNM,Flood
2008-0426-VNM,"Slide (land, mud, snow, rock)"
2008-0427-CRI,"Slide (land, mud, snow, rock)"
2008-0431-NPL,"Slide (land, mud, snow, rock)"
2008-0437-VNM,Flood
2008-0441-TWN,Flood
2008-0442-TWN,Flood
2008-0442-TWN,"Slide (land, mud, snow, rock)"
2008-0444-DZA,"Slide (land, mud, snow, rock)"
2008-0452-LAO,"Slide (land, mud, snow, rock)"
2008-0457-NIC,"Slide (land, mud, snow, rock)"
2008-0481-VNM,"Slide (land, mud, snow, rock)"
2008-0484-CRI,"Slide (land, mud, snow, rock)"
2008-0484-GTM,"Slide (land, mud, snow, rock)"
2008-0484-HND,"Slide (land, mud, snow, rock)"
2008-0485-RWA,Rain
2008-0486-IND,Broken Dam/Burst bank
2008-0499-YEM,Lightening
2008-0500-PAK,"Slide (land, mud, snow, rock)"
2008-0501-VNM,"Slide (land, mud, snow, rock)"
2008-0503-PRY,Hail
2008-0507-CHN,"Slide (land, mud, snow, rock)"
2008-0514-CUB,Surge
2008-0514-CYM,Flood
2008-0514-CYM,Surge
2008-0518-KEN,"Slide (land, mud, snow, rock)"
2008-0525-AUS,Flood
2008-0525-AUS,Hail
2008-0526-IDN,"Slide (land, mud, snow, rock)"
2008-0533-BOL,Hail
2008-0540-PHL,Flood
2008-0540-VNM,Flood
2008-0546-COL,"Slide (land, mud, snow, rock)"
2008-0549-BRA,"Slide (land, mud, snow, rock)"
2008-0551-CRI,"Slide (land, mud, snow, rock)"
2008-0551-PAN,"Slide (land, mud, snow, rock)"
2008-0552-VNM,Flood
2008-0570-MYS,"Slide (land, mud, snow, rock)"
2008-0579-ITA,Rain
2008-0580-VEN,"Slide (land, mud, snow, rock)"
2008-0581-AUS,Broken Dam/Burst bank
2008-0604-ATG,Flood
2008-0609-PHL,Flood
2008-0621-PHL,Flood
2008-0625-PNG,Industrial accidents
2008-0627-USA,Broken Dam/Burst bank
2008-0646-IND,Flood
2008-0648-BGD,Flood
2008-0649-COL,"Slide (land, mud, snow, rock)"
2008-0651-CHN,Cold wave
2008-0653-DEU,Hail
2008-9200-ETH,Famine
2008-9200-ETH,Food shortage
2008-9303-DJI,Food shortage
2008-9307-UGA,Food shortage
2008-9456-TJK,Food shortage
2008-9468-SOM,Food shortage
2008-9475-AFG,Food shortage
2008-9590-MOZ,Food shortage
2008-9640-BDI,Food shortage
2008-9644-MDG,Food shortage
2009-0002-CRI,"Slide (land, mud, snow, rock)"
2009-0013-FJI,Tsunami/Tidal wave
2009-0014-FRA,Flood
2009-0014-FRA,"Slide (land, mud, snow, rock)"
2009-0014-ITA,"Slide (land, mud, snow, rock)"
2009-0017-BRA,"Slide (land, mud, snow, rock)"
2009-0023-PHL,"Slide (land, mud, snow, rock)"
2009-0035-COL,"Slide (land, mud, snow, rock)"
2009-0039-SLB,"Slide (land, mud, snow, rock)"
2009-0043-MAR,Rain
2009-0047-MDG,Flood
2009-0048-AUS,Flood
2009-0063-IDN,"Slide (land, mud, snow, rock)"
2009-0064-CAF,Flood
2009-0067-AUS,Heat wave
2009-0121-IDN,Broken Dam/Burst bank
2009-0123-MDG,Flood
2009-0123-MOZ,Flood
2009-0130-IND,Hail
2009-0136-ITA,"Slide (land, mud, snow, rock)"
2009-0139-AFG,"Slide (land, mud, snow, rock)"
