DisNo.,type_name
2002-0273-RWA,"Slide (land, mud, snow, rock)"
2002-0296-PRY,Broken Dam/Burst bank
2002-0321-HTI,"Slide (land, mud, snow, rock)"
2002-0322-CHL,Cold wave
2002-0325-JAM,"Slide (land, mud, snow, rock)"
2002-0339-COL,"Slide (land, mud, snow, rock)"
2002-0343-ITA,"Slide (land, mud, snow, rock)"
2002-0350-CHN,"Slide (land, mud, snow, rock)"
2002-0368-ARG,"Slide (land, mud, snow, rock)"
2002-0375-TJK,"Slide (land, mud, snow, rock)"
2002-0376-RUS,"Slide (land, mud, snow, rock)"
2002-0403-BRA,Broken Dam/Burst bank
2002-0428-NPL,Flood
2002-0467-DEU,Rain
2002-0474-KOR,"Slide (land, mud, snow, rock)"
2002-0475-TJK,"Slide (land, mud, snow, rock)"
2002-0498-CHN,"Slide (land, mud, snow, rock)"
2002-0557-KOR,"Slide (land, mud, snow, rock)"
2002-0577-PNG,Tsunami/Tidal wave
2002-0584-IND,Tsunami/Tidal wave
2002-0627-JAM,Flood
2002-0636-GRD,"Slide (land, mud, snow, rock)"
2002-0643-IDN,"Slide (land, mud, snow, rock)"
2002-0643-IDN,Tsunami/Tidal wave
2002-0657-HTI,Flood
2002-0690-ITA,"Slide (land, mud, snow, rock)"
2002-0692-PAK,"Slide (land, mud, snow, rock)"
2002-0721-PAK,"Slide (land, mud, snow, rock)"
2002-0724-USA,Flood
2002-0740-ITA,"Slide (land, mud, snow, rock)"
2002-0743-CHE,"Slide (land, mud, snow, rock)"
2002-0770-VUT,"Slide (land, mud, snow, rock)"
2002-0811-SLB,Surge
2002-0824-BRA,Flood
2002-0839-COL,Broken Dam/Burst bank
2002-0879-ESP,"Slide (land, mud, snow, rock)"
2002-9124-MWI,Famine
2002-9333-LSO,Famine
2002-9333-LSO,Food shortage
2002-9398-CPV,Food shortage
2002-9535-GMB,Food shortage
2002-9611-AUS,Wildfire
2002-9707-MDG,Famine
2002-9852-UGA,Food shortage
2003-0001-PRT,"Slide (land, mud, snow, rock)"
2003-0016-IDN,"Slide (land, mud, snow, rock)"
2003-0024-FJI,"Slide (land, mud, snow, rock)"
2003-0024-FJI,Surge
2003-0028-BRA,"Slide (land, mud, snow, rock)"
2003-0033-MKD,"Slide (land, mud, snow, rock)"
2003-0039-MEX,"Slide (land, mud, snow, rock)"
2003-0043-ITA,"Slide (land, mud, snow, rock)"
2003-0047-BOL,"Slide (land, mud, snow, rock)"
2003-0051-PER,"Slide (land, mud, snow, rock)"
2003-0097-GRC,"Slide (land, mud, snow, rock)"
2003-0099-IND,Hail
2003-0114-MOZ,Rain
2003-0114-ZWE,Rain
2003-0139-USA,Flood
2003-0139-USA,Hail
2003-0147-USA,Transport accident
2003-0155-IDN,Flood
2003-0182-IND,Rain
2003-0184-ITA,"Slide (land, mud, snow, rock)"
2003-0185-CHN,Hail
2003-0185-CHN,Rain
2003-0204-KEN,Broken Dam/Burst bank
2003-0204-KEN,"Slide (land, mud, snow, rock)"
2003-0211-BGD,Hail
2003-0211-BGD,"Slide (land, mud, snow, rock)"
2003-0212-AZE,"Slide (land, mud, snow, rock)"
2003-0218-MDG,Rain
2003-0227-CHN,"Slide (land, mud, snow, rock)"
2003-0229-LKA,"Slide (land, mud, snow, rock)"
2003-0236-AFG,"Slide (land, mud, snow, rock)"
2003-0238-PRI,"Slide (land, mud, snow, rock)"
2003-0245-DZA,Tsunami/Tidal wave
2003-0249-JPN,Fire
2003-0249-JPN,"Slide (land, mud, snow, rock)"
2003-0250-IND,Drought
2003-0256-AFG,"Slide (land, mud, snow, rock)"
2003-0258-PHL,Flood
2003-0258-PHL,"Slide (land, mud, snow, rock)"
2003-0273-TJK,"Slide (land, mud, snow, rock)"
2003-0274-CHN,"Slide (land, mud, snow, rock)"
2003-0284-COL,"Slide (land, mud, snow, rock)"
2003-0287-ASM,"Slide (land, mud, snow, rock)"
2003-0289-PHL,"Slide (land, mud, snow, rock)"
2003-0290-PHL,Flood
2003-0290-PHL,"Slide (land, mud, snow, rock)"
2003-0293-TLS,"Slide (land, mud, snow, rock)"
2003-0302-AFG,"Slide (land, mud, snow, rock)"
2003-0303-BGD,"Slide (land, mud, snow, rock)"
2003-0314-SLB,"Slide (land, mud, snow, rock)"
2003-0315-CHN,"Slide (land, mud, snow, rock)"
2003-0326-ECU,Pollution
2003-0331-CHN,Broken Dam/Burst bank
2003-0334-USA,Rain
2003-0339-PER,Snow/ice
2003-0341-NPL,"Slide (land, mud, snow, rock)"
2003-0343-JPN,"Slide (land, mud, snow, rock)"
2003-0346-PHL,Flood
2003-0348-CHN,"Slide (land, mud, snow, rock)"
2003-0354-JPN,"Slide (land, mud, snow, rock)"
2003-0358-CMR,Flood
2003-0359-PAK,Pollution
2003-0368-SDN,Broken Dam/Burst bank
2003-0388-JPN,Flood
2003-0388-JPN,"Slide (land, mud, snow, rock)"
2003-0388-RUS,Rain
2003-0391-AUT,Drought
2003-0391-AUT,Wildfire
2003-0391-BEL,Drought
2003-0391-CHE,Drought
2003-0391-DEU,Drought
2003-0391-ESP,Drought
2003-0391-FRA,Drought
2003-0391-HRV,Drought
2003-0391-ITA,Drought
2003-0391-SVK,Drought
2003-0391-SVN,Drought
2003-0391-SVN,Wildfire
2003-0392-AFG,Broken Dam/Burst bank
2003-0392-AFG,"Slide (land, mud, snow, rock)"
2003-0394-CHN,Rain
2003-0395-FRA,Hail
2003-0395-FRA,Rain
2003-0408-ZAF,Rain
2003-0422-GMB,Flood
2003-0422-GMB,Rain
2003-0423-SAU,"Slide (land, mud, snow, rock)"
2003-0433-ITA,Flood
2003-0433-ITA,"Slide (land, mud, snow, rock)"
2003-0437-VNM,Rain
2003-0440-CHN,"Slide (land, mud, snow, rock)"
2003-0441-CHN,Flood
2003-0443-HKG,Rain
2003-0443-TWN,Rain
2003-0448-BMU,Rain
2003-0452-BGD,"Slide (land, mud, snow, rock)"
2003-0459-JPN,Rain
2003-0459-KOR,Flood
2003-0459-KOR,"Slide (land, mud, snow, rock)"
2003-0468-USA,Flood
2003-0474-MEX,Flood
2003-0474-MEX,Rain
2003-0476-JPN,Fire
2003-0476-JPN,Tsunami/Tidal wave
2003-0477-DOM,"Slide (land, mud, snow, rock)"
2003-0487-CAN,Flood
2003-0490-NZL,Flood
2003-0490-NZL,"Slide (land, mud, snow, rock)"
2003-0495-HTI,"Slide (land, mud, snow, rock)"
2003-0497-RUS,"Slide (land, mud, snow, rock)"
2003-0503-DZA,"Slide (land, mud, snow, rock)"
2003-0531-IDN,"Slide (land, mud, snow, rock)"
2003-0539-ARG,Flood
2003-0539-ARG,Hail
2003-0556-MAR,"Slide (land, mud, snow, rock)"
2003-0557-VNM,"Slide (land, mud, snow, rock)"
2003-0560-AUS,Flood
2003-0571-DOM,Broken Dam/Burst bank
2003-0571-DOM,"Slide (land, mud, snow, rock)"
2003-0578-COL,Rain
2003-0578-COL,"Slide (land, mud, snow, rock)"
2003-0579-BRA,"Slide (land, mud, snow, rock)"
2003-0585-MKD,Broken Dam/Burst bank
2003-0586-FRA,"Slide (land, mud, snow, rock)"
2003-0593-IDN,"Slide (land, mud, snow, rock)"
2003-0595-USA,Flood
2003-0595-USA,"Slide (land, mud, snow, rock)"
2003-0599-DOM,Flood
2003-0599-PRI,Flood
2003-0605-IND,Cold wave
2003-0605-IND,Rain
2003-0610-PHL,Flood
2003-0615-AUS,Flood
2003-0618-USA,Transport accident
2003-0621-BOL,Broken Dam/Burst bank
2003-0621-BOL,"Slide (land, mud, snow, rock)"
2003-0624-HTI,"Slide (land, mud, snow, rock)"
2003-0644-PER,Rain
2003-0644-PER,"Slide (land, mud, snow, rock)"
2003-0673-BRA,"Slide (land, mud, snow, rock)"
2003-0688-MEX,Rain
2003-0706-UGA,"Slide (land, mud, snow, rock)"
2003-0712-MEX,Explosion
2003-0712-MEX,"Slide (land, mud, snow, rock)"
2003-0713-VEN,"Slide (land, mud, snow, rock)"
2003-0720-IND,"Slide (land, mud, snow, rock)"
2003-0728-MWI,"Slide (land, mud, snow, rock)"
2003-0730-BRA,"Slide (land, mud, snow, rock)"
2003-0741-USA,Flood
2003-0752-COM,Rain
2003-0768-PAN,Rain
2003-0768-PAN,"Slide (land, mud, snow, rock)"
2003-0769-URY,Rain
2003-0774-THA,"Slide (land, mud, snow, rock)"
2003-0776-IDN,"Slide (land, mud, snow, rock)"
2003-0782-USA,Flood
2003-0788-COL,"Slide (land, mud, snow, rock)"
2003-0829-USA,Hail
2003-0829-USA,Snow/ice
2003-0830-USA,Transport accident
2003-9360-CHN,Fire
2003-9758-HTI,Food shortage
2003-9777-RUS,Water shortage
2003-9784-HRV,Heat wave
2004-0004-WSM,Flood
2004-0004-WSM,Surge
2004-0010-TUR,Snow/ice
2004-0019-AGO,Broken Dam/Burst bank
2004-0026-CYP,Rain
2004-0026-EGY,Rain
2004-0026-GRC,Rain
2004-0029-MDG,Flood
2004-0031-CAN,Cold wave
2004-0031-USA,Cold wave
2004-0031-USA,Transport accident
2004-0033-IDN,"Slide (land, mud, snow, rock)"
2004-0040-IDN,Fire
2004-0054-PAK,"Slide (land, mud, snow, rock)"
2004-0061-IDN,Flood
2004-0062-IDN,Rain
2004-0062-IDN,"Slide (land, mud, snow, rock)"
2004-0072-SYR,Cold wave
2004-0072-SYR,Rain
2004-0080-VUT,Rain
2004-0080-VUT,"Slide (land, mud, snow, rock)"
2004-0087-PHL,"Slide (land, mud, snow, rock)"
2004-0102-GEO,"Slide (land, mud, snow, rock)"
